SROBurton_AVG_NHR,SROBurtonERROR_NHR,1SQFireAVG_NHR,1SQFireERROR_NHR,FireAVG_NHR,FireERROR_NHR,SROBurton_AVG_HRD,SROBurtonERROR_HRD,1SQFireAVG_HRD,1SQFireERROR_HRD,FireAVG_HRD,FireERROR_HRD,Time
2617.1,69.55612442,2614.7,30.05108613,2857,27.21151717,90.43288079,0.213940473,90.71541109,0.055917387,91.10442686,0.087581191,5
2497.7,73.72878979,2516.1,67.07333466,2838.5,26.52472641,90.34775019,0.201351993,90.65443526,0.152169358,90.9364078,0.098557454,10
2932.6,79.05949939,2828.3,74.63363108,3426.4,34.07742818,91.16511311,0.191867467,91.18470408,0.123890771,91.96950435,0.06636615,15
2732.9,69.34782701,2567.7,75.15451491,3377,26.06786016,90.79234746,0.166580354,90.87750924,0.119049332,91.86182167,0.061591474,20
2524.4,69.61947365,2319.4,72.41687955,3339.5,31.85043171,90.56012358,0.185442626,90.57982533,0.165535231,91.82003917,0.062113908,25
2328.5,59.9001484,2070.3,72.01821529,3208.7,49.43526631,90.18726853,0.171411948,90.19027811,0.185362085,91.66119524,0.087175119,30
2271.1,65.43910655,1949.6,70.44622851,3300,53.66438919,90.46241562,0.161240433,90.27077544,0.210112386,92.42413501,0.135717594,35
2108.2,74.1199928,1697.7,59.6126478,3215.7,51.12578171,90.13116836,0.159316225,89.81565532,0.171910486,92.15829745,0.117403077,40
1945.5,75.8894298,1455.8,58.34034244,3089.9,109.5931314,89.77821729,0.233587042,89.1442748,0.172416374,91.90120675,0.210374705,45
1796.4,74.79887106,1222.9,58.50877427,3089.6,110.390841,89.57770495,0.2129391,88.79129863,0.254654593,91.7982969,0.190496707,50
2092.5,90.76039885,1133.3,52.57355694,3839.5,148.9563135,84.92398526,0.373032463,78.70590483,0.224817846,90.447643,0.194733978,100
2091.3,97.49997721,1139.8,58.14384462,4047.1,147.7711782,81.59069926,0.344929237,77.50345839,0.308370252,92.74949166,0.246265778,150
1998.6,49.74740641,1079,71.35155531,4201.5,172.5467569,80.47165173,0.238465223,75.02970944,0.275644636,91.78427579,0.294259441,200
1940.9,53.58906398,1113.5,41.63125162,3950.8,93.97065736,79.71180269,0.168897675,76.30190909,0.21383091,91.07731766,0.257766472,250
1950,81.75056915,1104.2,56.29166112,3919.1,130.4363148,80.08992054,0.160864054,75.46396341,0.242155043,91.13976506,0.427227349,300
2093,74.23685817,1105.2,74.27079582,4146.6,145.5338983,79.95916004,0.267775882,75.99354436,0.280578851,91.41648649,0.358372387,350
2059.4,87.05084083,1096.5,55.25521594,3916.3,251.6554986,79.76656831,0.149645499,75.52685043,0.254628843,91.66999221,0.327115219,400
2037.4,66.82617584,1086.6,47.2200993,4162.2,120.0154435,80.02780294,0.226667358,76.03805683,0.408345228,91.28029915,0.447925043,450
2075.5,59.01228686,1126.5,46.65339097,4131.9,148.9218624,80.0998733,0.284348405,75.39097143,0.191957779,91.75668173,0.3743351,500
